ECU log 12.08.2023 16:56:53

ECU Config:

Ignition sequence timings:
state,duration
8,100
9,250
10,500
11,5000
12,1000
13,2000

State configuration:
state,fuelVentingValve,oxVentingValve,N2VentingValve,pressPower,pressPos,purgePower,purgePos,MFVpower,MFVpos,MFVdegree,MFVduration,MFVdelay,MOVpower,MOVpos,MOVdegree,MOVduration,MOVdelay
0,1,1,1,1,0.00,1,1.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
1,1,1,1,1,0.00,1,1.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
2,1,1,1,1,0.00,1,1.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
3,1,1,1,1,0.00,1,0.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
4,1,1,0,1,0.00,1,0.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
5,1,0,1,1,0.00,1,0.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
6,0,0,0,1,1.00,1,0.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
7,0,0,0,1,1.00,1,0.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
8,0,0,0,1,1.00,1,0.00,1,0.00,0.00,0,0,1,0.00,0.00,0,0
9,0,0,0,1,1.00,1,0.00,1,0.19,0.00,0,0,1,0.00,0.00,0,0
10,0,0,0,1,1.00,1,0.00,1,0.70,1.00,400,0,1,0.70,1.00,400,0
11,0,0,0,1,1.00,1,0.00,1,1.00,1.00,0,0,1,1.00,1.00,0,0
12,0,0,0,1,0.00,1,0.00,1,0.00,1.00,0,0,1,0.00,1.00,0,0
13,0,0,0,1,0.00,1,1.00,1,0.00,1.00,0,0,1,0.00,1.00,0,0
14,0,0,0,1,0.00,1,0.00,1,0.00,1.00,0,0,1,0.00,1.00,0,0

ECU log:
timestamp,state,fuelvent,oxvent,pressurizing,pressurizingEnabled,purge,purgeEnabled,mainfuelvalve,mainfuelvalveEnabled,mainoxvalve,mainoxvalveEnabled
203378,1,0,0,0,False,0,False,0,False,0,False
203378,1,0,0,900,False,0,False,0,False,0,False
203378,1,0,0,900,False,2100,False,0,False,0,False
203378,1,0,0,900,False,2100,False,1000,False,0,False
203378,1,0,0,900,False,2100,False,1000,False,900,False
957915,2,0,0,900,False,2100,False,1000,False,900,False
957794,2,0,0,900,True,2100,False,1000,False,900,False
957794,2,0,0,900,True,2100,True,1000,False,900,False
957794,2,0,0,900,True,2100,True,1000,True,900,False
957794,2,0,0,900,True,2100,True,1000,True,900,True
962799,2,0,0,900,False,2100,True,1000,True,900,True
962799,2,0,0,900,False,2100,False,1000,True,900,True
962799,2,0,0,900,False,2100,False,1000,False,900,True
962799,2,0,0,900,False,2100,False,1000,False,900,False
972324,3,0,0,900,False,2100,False,1000,False,900,False
972324,3,0,0,900,False,900,False,1000,False,900,False
972324,3,0,0,900,True,900,False,1000,False,900,False
972324,3,0,0,900,True,900,True,1000,False,900,False
972324,3,0,0,900,True,900,True,1000,True,900,False
972324,3,0,0,900,True,900,True,1000,True,900,True
977331,3,0,0,900,False,900,True,1000,True,900,True
977331,3,0,0,900,False,900,False,1000,True,900,True
977331,3,0,0,900,False,900,False,1000,False,900,True
977331,3,0,0,900,False,900,False,1000,False,900,False
1185470,4,0,0,900,False,900,False,1000,False,900,False
1185470,4,0,0,900,True,900,False,1000,False,900,False
1185470,4,0,0,900,True,900,True,1000,False,900,False
1185470,4,0,0,900,True,900,True,1000,True,900,False
1185470,4,0,0,900,True,900,True,1000,True,900,True
1190474,4,0,0,900,False,900,True,1000,True,900,True
1190474,4,0,0,900,False,900,False,1000,True,900,True
1190474,4,0,0,900,False,900,False,1000,False,900,True
1190474,4,0,0,900,False,900,False,1000,False,900,False
1518603,4,0,1,900,False,900,False,1000,False,900,False
1570839,4,0,1,900,False,900,False,1000,False,900,True
1573841,4,0,1,900,False,900,False,1000,False,900,False
1615371,5,0,1,900,False,900,False,1000,False,900,False
